mass_A
t	x	y
0,000000000E0	1,460005951E-1	7,446030349E-1
1,000000000E-2	1,463462584E-1	7,432226391E-1
2,000000000E-2	1,471736258E-1	7,408206013E-1
3,000000000E-2	1,485319561E-1	7,370747399E-1
4,000000000E-2	1,504341068E-1	7,327950983E-1
5,000000000E-2	1,518363791E-1	7,282439128E-1
6,000000000E-2	1,549293948E-1	7,229549719E-1
7,000000000E-2	1,576447298E-1	7,175807421E-1
8,000000000E-2	1,605684624E-1	7,111735583E-1
9,000000000E-2	1,634179703E-1	7,042750095E-1
1,000000000E-1	1,673395329E-1	6,965001638E-1
1,100000000E-1	1,714617132E-1	6,887118889E-1
1,200000000E-1	1,753120834E-1	6,798606848E-1
1,300000000E-1	1,793730619E-1	6,706109004E-1
1,400000000E-1	1,829797641E-1	6,608852738E-1
1,500000000E-1	1,877209117E-1	6,505891744E-1
1,600000000E-1	1,926787909E-1	6,396422078E-1
1,700000000E-1	1,980748676E-1	6,276079059E-1
1,800000000E-1	2,032188015E-1	6,153158427E-1
1,900000000E-1	2,090360963E-1	6,024194852E-1
2,000000000E-1	2,152806695E-1	5,896138979E-1
2,100000000E-1	2,218768950E-1	5,759197502E-1
2,200000000E-1	2,286058542E-1	5,615979174E-1
2,300000000E-1	2,350059329E-1	5,467222856E-1
2,400000000E-1	2,423382735E-1	5,314690532E-1
2,500000000E-1	2,509232700E-1	5,159441965E-1
2,600000000E-1	2,600997058E-1	5,002476296E-1
2,700000000E-1	2,698024050E-1	4,844547561E-1
2,800000000E-1	2,805493077E-1	4,678131336E-1
2,900000000E-1	2,919969394E-1	4,513837710E-1
3,000000000E-1	3,045354132E-1	4,349007921E-1
3,100000000E-1	3,169969368E-1	4,183541217E-1
3,200000000E-1	3,308634531E-1	4,009581159E-1
3,300000000E-1	3,469208801E-1	3,845825509E-1
3,400000000E-1	3,634928093E-1	3,690169918E-1
3,500000000E-1	3,810453567E-1	3,544395620E-1
3,600000000E-1	3,998348281E-1	3,410808397E-1
3,700000000E-1	4,199228562E-1	3,281913496E-1
3,800000000E-1	4,412288794E-1	3,156967807E-1
3,900000000E-1	4,633406481E-1	3,045066560E-1
4,000000000E-1	4,854081906E-1	2,937929798E-1
4,100000000E-1	5,052890160E-1	2,812098418E-1
4,200000000E-1	5,313152090E-1	2,716880639E-1
4,300000000E-1	5,528979057E-1	2,634358563E-1
4,400000000E-1	5,771184327E-1	2,547997841E-1
4,500000000E-1	6,012654289E-1	2,468419509E-1
4,600000000E-1	6,264306353E-1	2,393724023E-1
4,700000000E-1	6,516012635E-1	2,328167444E-1
4,800000000E-1	6,770215353E-1	2,272042562E-1
4,900000000E-1	7,027845191E-1	2,214670844E-1
5,000000000E-1	7,294056463E-1	2,165838799E-1
5,100000000E-1	7,552855453E-1	2,125608853E-1
5,200000000E-1	7,814136302E-1	2,094599939E-1
5,300000000E-1	8,076576950E-1	2,061766977E-1
5,400000000E-1	8,347348235E-1	2,039350072E-1
5,500000000E-1	8,612486152E-1	2,020790221E-1
5,600000000E-1	8,879496928E-1	2,013088941E-1
5,700000000E-1	9,149759740E-1	2,001742898E-1
5,800000000E-1	9,412226800E-1	1,998716772E-1
5,900000000E-1	9,677871696E-1	2,002100653E-1
6,000000000E-1	9,945278448E-1	2,011081678E-1
6,100000000E-1	1,020362911E0	2,026711975E-1
6,200000000E-1	1,045443158E0	2,048132330E-1
6,300000000E-1	1,072200104E0	2,077830553E-1
6,400000000E-1	1,097736584E0	2,113060827E-1
6,500000000E-1	1,123128200E0	2,158567609E-1
6,600000000E-1	1,147969316E0	2,219404180E-1
6,700000000E-1	1,172464306E0	2,280988977E-1
6,800000000E-1	1,195977761E0	2,359467145E-1
6,900000000E-1	1,219379580E0	2,448907989E-1
7,000000000E-1	1,241639843E0	2,570880044E-1
7,100000000E-1	1,261318184E0	2,672445675E-1
7,200000000E-1	1,281631311E0	2,786707010E-1
7,300000000E-1	1,300674867E0	2,951751161E-1
7,400000000E-1	1,317814067E0	3,078708200E-1
7,500000000E-1	1,333048912E0	3,218360944E-1
7,600000000E-1	1,348918541E0	3,370709391E-1
7,700000000E-1	1,364153386E0	3,510362134E-1
7,800000000E-1	1,380657801E0	3,650014877E-1
7,900000000E-1	1,395257861E0	3,808711176E-1
8,000000000E-1	1,406683994E0	3,935668215E-1
8,100000000E-1	1,420014483E0	4,062625254E-1
