mass_A
t	x	y
0,000000000E0	3,200411177E-1	5,876376197E-1
1,000000000E-2	3,214055310E-1	5,865755177E-1
2,000000000E-2	3,231418448E-1	5,850682989E-1
3,000000000E-2	3,253554119E-1	5,833698003E-1
4,000000000E-2	3,274054157E-1	5,809778728E-1
5,000000000E-2	3,303418198E-1	5,781329914E-1
6,000000000E-2	3,328515052E-1	5,745587391E-1
7,000000000E-2	3,356432702E-1	5,704069355E-1
8,000000000E-2	3,387264037E-1	5,661098573E-1
9,000000000E-2	3,428164288E-1	5,614607020E-1
1,000000000E-1	3,471805197E-1	5,559686156E-1
1,100000000E-1	3,519806869E-1	5,505211137E-1
1,200000000E-1	3,568527698E-1	5,443783150E-1
1,300000000E-1	3,622833951E-1	5,382676335E-1
1,400000000E-1	3,673746575E-1	5,313981360E-1
1,500000000E-1	3,733404776E-1	5,239748660E-1
1,600000000E-1	3,797776098E-1	5,157394025E-1
1,700000000E-1	3,862749051E-1	5,067889109E-1
1,800000000E-1	3,934188801E-1	4,980203548E-1
1,900000000E-1	4,010421256E-1	4,885457110E-1
2,000000000E-1	4,090083796E-1	4,790141382E-1
2,100000000E-1	4,177497623E-1	4,693609121E-1
2,200000000E-1	4,262045583E-1	4,587318786E-1
2,300000000E-1	4,352327125E-1	4,480895550E-1
2,400000000E-1	4,450605409E-1	4,372644400E-1
2,500000000E-1	4,550593502E-1	4,257680007E-1
2,600000000E-1	4,658075171E-1	4,146247771E-1
2,700000000E-1	4,769252613E-1	4,037298744E-1
2,800000000E-1	4,884723765E-1	3,927794411E-1
2,900000000E-1	5,006584976E-1	3,817557988E-1
3,000000000E-1	5,130657425E-1	3,719063151E-1
3,100000000E-1	5,265788080E-1	3,612160673E-1
3,200000000E-1	5,407915529E-1	3,503346316E-1
3,300000000E-1	5,546561070E-1	3,411996304E-1
3,400000000E-1	5,686342981E-1	3,326234996E-1
3,500000000E-1	5,842592214E-1	3,236468328E-1
3,600000000E-1	6,000939441E-1	3,153547259E-1
3,700000000E-1	6,159277556E-1	3,077826080E-1
3,800000000E-1	6,324199645E-1	3,004902631E-1
3,900000000E-1	6,486743929E-1	2,936437101E-1
4,000000000E-1	6,647758993E-1	2,873419569E-1
4,100000000E-1	6,811816918E-1	2,811474667E-1
4,200000000E-1	6,971024618E-1	2,769053419E-1
4,300000000E-1	7,139405671E-1	2,705769254E-1
4,400000000E-1	7,302019123E-1	2,639905768E-1
4,500000000E-1	7,466445363E-1	2,586211387E-1
4,600000000E-1	7,629776728E-1	2,536368355E-1
4,700000000E-1	7,801956065E-1	2,484189689E-1
4,800000000E-1	7,971515080E-1	2,432195869E-1
4,900000000E-1	8,142838450E-1	2,388349535E-1
5,000000000E-1	8,310081537E-1	2,347353187E-1
5,100000000E-1	8,471877938E-1	2,315710061E-1
5,200000000E-1	8,635453852E-1	2,275236519E-1
5,300000000E-1	8,801786891E-1	2,243534052E-1
5,400000000E-1	8,972020753E-1	2,240260332E-1
5,500000000E-1	9,136095787E-1	2,187112450E-1
5,600000000E-1	9,302669678E-1	2,159422030E-1
5,700000000E-1	9,464415336E-1	2,137584545E-1
5,800000000E-1	9,629354156E-1	2,114262724E-1
