mass_A
t	x	y
0,000000000E0	2,274462122E-1	7,720231658E-1
1,000000000E-2	2,288963352E-1	7,702383990E-1
2,000000000E-2	2,304242569E-1	7,682737092E-1
3,000000000E-2	2,323543208E-1	7,655533863E-1
4,000000000E-2	2,348083751E-1	7,623184966E-1
5,000000000E-2	2,370513868E-1	7,588063807E-1
6,000000000E-2	2,395593346E-1	7,546883751E-1
7,000000000E-2	2,424581128E-1	7,495476083E-1
8,000000000E-2	2,452409043E-1	7,442426693E-1
9,000000000E-2	2,491498995E-1	7,383617756E-1
1,000000000E-1	2,530402103E-1	7,320405675E-1
1,100000000E-1	2,571778446E-1	7,251186976E-1
1,200000000E-1	2,615461677E-1	7,174427646E-1
1,300000000E-1	2,665996811E-1	7,093245505E-1
1,400000000E-1	2,719446559E-1	7,006946557E-1
1,500000000E-1	2,773502674E-1	6,919019686E-1
1,600000000E-1	2,833753930E-1	6,825961363E-1
1,700000000E-1	2,899113457E-1	6,721065149E-1
1,800000000E-1	2,963812130E-1	6,613388084E-1
1,900000000E-1	3,038226961E-1	6,505674802E-1
2,000000000E-1	3,112549229E-1	6,394735615E-1
2,100000000E-1	3,187903904E-1	6,279319107E-1
2,200000000E-1	3,269887252E-1	6,159213897E-1
2,300000000E-1	3,358907839E-1	6,033139194E-1
2,400000000E-1	3,454519875E-1	5,910032488E-1
2,500000000E-1	3,551993411E-1	5,779947724E-1
2,600000000E-1	3,655629462E-1	5,648795692E-1
2,700000000E-1	3,764695632E-1	5,513712914E-1
2,800000000E-1	3,883105928E-1	5,376423717E-1
2,900000000E-1	4,005524532E-1	5,260944144E-1
3,000000000E-1	4,139518819E-1	5,136424192E-1
3,100000000E-1	4,269116663E-1	4,968994820E-1
3,200000000E-1	4,415357560E-1	4,827313007E-1
3,300000000E-1	4,568603945E-1	4,693560929E-1
3,400000000E-1	4,725167210E-1	4,558257773E-1
3,500000000E-1	4,892194686E-1	4,425972890E-1
3,600000000E-1	5,063466794E-1	4,294001102E-1
3,700000000E-1	5,247458270E-1	4,164109134E-1
3,800000000E-1	5,437827900E-1	4,042310129E-1
3,900000000E-1	5,639165915E-1	3,924969866E-1
4,000000000E-1	5,840768050E-1	3,813273415E-1
4,100000000E-1	6,054000656E-1	3,707867020E-1
4,200000000E-1	6,271911457E-1	3,611365754E-1
4,300000000E-1	6,492195780E-1	3,525146970E-1
4,400000000E-1	6,719347650E-1	3,442835446E-1
4,500000000E-1	6,952840687E-1	3,363560591E-1
4,600000000E-1	7,190481717E-1	3,292983910E-1
4,700000000E-1	7,431728448E-1	3,227913853E-1
4,800000000E-1	7,675649545E-1	3,166350335E-1
4,900000000E-1	7,924482611E-1	3,112920897E-1
5,000000000E-1	8,173477998E-1	3,052798171E-1
5,100000000E-1	8,422245948E-1	2,999697791E-1
5,200000000E-1	8,670797253E-1	2,952633076E-1
5,300000000E-1	8,927825957E-1	2,905429640E-1
5,400000000E-1	9,182353593E-1	2,868542105E-1
5,500000000E-1	9,437712288E-1	2,835116815E-1
5,600000000E-1	9,683774205E-1	2,829732991E-1
5,700000000E-1	9,949251882E-1	2,794327730E-1
5,800000000E-1	1,020681043E0	2,782451682E-1
5,900000000E-1	1,046093133E0	2,778670190E-1
6,000000000E-1	1,071837656E0	2,784608518E-1
6,100000000E-1	1,097679593E0	2,801936305E-1
6,200000000E-1	1,122514871E0	2,825406797E-1
6,300000000E-1	1,146790648E0	2,861228685E-1
6,400000000E-1	1,171696358E0	2,911363406E-1
6,500000000E-1	1,196145307E0	2,970394373E-1
6,600000000E-1	1,220543921E0	3,034826698E-1
6,700000000E-1	1,243993532E0	3,106962930E-1
6,800000000E-1	1,267475808E0	3,183949810E-1
6,900000000E-1	1,290286105E0	3,265796044E-1
7,000000000E-1	1,312427960E0	3,347143510E-1
7,100000000E-1	1,334229649E0	3,430834407E-1
7,200000000E-1	1,356602029E0	3,530878809E-1
7,300000000E-1	1,377969377E0	3,609989113E-1
7,400000000E-1	1,399150703E0	3,696688770E-1
7,500000000E-1	1,420220032E0	3,783591945E-1
7,600000000E-1	1,440972950E0	3,869963764E-1
7,700000000E-1	1,461134492E0	3,958873144E-1
7,800000000E-1	1,480744830E0	4,045414414E-1
7,900000000E-1	1,500400174E0	4,130852902E-1
8,000000000E-1	1,518505929E0	4,218315557E-1
8,100000000E-1	1,535305682E0	4,313463587E-1
