mass_A
t	x	y
0,000000000E0	3,290761150E-1	5,851096344E-1
1,000000000E-2	3,293962583E-1	5,849661167E-1
2,000000000E-2	3,313100209E-1	5,838275123E-1
3,000000000E-2	3,332343858E-1	5,818325500E-1
4,000000000E-2	3,357968893E-1	5,802942609E-1
5,000000000E-2	3,397928074E-1	5,765625907E-1
6,000000000E-2	3,427751747E-1	5,733548930E-1
7,000000000E-2	3,462410935E-1	5,699138583E-1
8,000000000E-2	3,503910871E-1	5,663583682E-1
9,000000000E-2	3,547999547E-1	5,624040482E-1
1,000000000E-1	3,594045488E-1	5,581636772E-1
1,100000000E-1	3,644244788E-1	5,534563013E-1
1,200000000E-1	3,696556804E-1	5,483616474E-1
1,300000000E-1	3,751873185E-1	5,434203936E-1
1,400000000E-1	3,810860383E-1	5,379670955E-1
1,500000000E-1	3,873687530E-1	5,322051229E-1
1,600000000E-1	3,939188750E-1	5,260902417E-1
1,700000000E-1	4,010648848E-1	5,198318836E-1
1,800000000E-1	4,088021543E-1	5,130235868E-1
1,900000000E-1	4,165813143E-1	5,059652986E-1
2,000000000E-1	4,246198264E-1	4,987110165E-1
2,100000000E-1	4,332562558E-1	4,911640818E-1
2,200000000E-1	4,423054282E-1	4,834407103E-1
2,300000000E-1	4,512765945E-1	4,750084927E-1
2,400000000E-1	4,611853568E-1	4,666804699E-1
2,500000000E-1	4,707445852E-1	4,581351619E-1
2,600000000E-1	4,810571617E-1	4,495144785E-1
2,700000000E-1	4,916967320E-1	4,407434970E-1
2,800000000E-1	5,026198281E-1	4,320485827E-1
2,900000000E-1	5,135829410E-1	4,234695283E-1
3,000000000E-1	5,257603063E-1	4,150145621E-1
3,100000000E-1	5,370909215E-1	4,053912291E-1
3,200000000E-1	5,496603299E-1	3,964002789E-1
3,300000000E-1	5,621601202E-1	3,880230904E-1
3,400000000E-1	5,747838776E-1	3,800489570E-1
3,500000000E-1	5,885557202E-1	3,716564737E-1
3,600000000E-1	6,027702581E-1	3,635093857E-1
3,700000000E-1	6,169010189E-1	3,558205403E-1
3,800000000E-1	6,318607048E-1	3,483116864E-1
3,900000000E-1	6,462443717E-1	3,408356043E-1
4,000000000E-1	6,609038418E-1	3,339534679E-1
4,100000000E-1	6,759687607E-1	3,269325114E-1
4,200000000E-1	6,910239501E-1	3,198732786E-1
4,300000000E-1	7,057715892E-1	3,136540888E-1
4,400000000E-1	7,213666047E-1	3,072628966E-1
4,500000000E-1	7,369676446E-1	2,996172287E-1
4,600000000E-1	7,522368298E-1	2,936508806E-1
