mass_A
t	x	y
0,000000000E0	1,449898939E-1	7,698320020E-1
1,000000000E-2	1,458468361E-1	7,697286473E-1
2,000000000E-2	1,491104324E-1	7,687309889E-1
3,000000000E-2	1,499901064E-1	7,684980119E-1
4,000000000E-2	1,511371487E-1	7,682803657E-1
5,000000000E-2	1,544683794E-1	7,672844250E-1
6,000000000E-2	1,580834869E-1	7,660619370E-1
7,000000000E-2	1,592829605E-1	7,658876348E-1
8,000000000E-2	1,630913428E-1	7,646084675E-1
9,000000000E-2	1,669171652E-1	7,634570090E-1
1,000000000E-1	1,684326649E-1	7,632398742E-1
1,100000000E-1	1,723573742E-1	7,620367178E-1
1,200000000E-1	1,764331915E-1	7,609017179E-1
1,300000000E-1	1,788426482E-1	7,605233642E-1
1,400000000E-1	1,827550776E-1	7,593283565E-1
1,500000000E-1	1,868170506E-1	7,580835979E-1
1,600000000E-1	1,915150895E-1	7,567475554E-1
1,700000000E-1	1,958288412E-1	7,554939597E-1
1,800000000E-1	2,005940673E-1	7,541437532E-1
1,900000000E-1	2,052569133E-1	7,529832854E-1
2,000000000E-1	2,099564550E-1	7,515711216E-1
2,100000000E-1	2,149979430E-1	7,502580846E-1
2,200000000E-1	2,202028633E-1	7,488977993E-1
2,300000000E-1	2,256223814E-1	7,475993168E-1
2,400000000E-1	2,307530010E-1	7,462209335E-1
2,500000000E-1	2,361440544E-1	7,449266060E-1
2,600000000E-1	2,415043163E-1	7,435466350E-1
2,700000000E-1	2,488784133E-1	7,412243236E-1
2,800000000E-1	2,544677803E-1	7,397778538E-1
2,900000000E-1	2,607828423E-1	7,383806027E-1
3,000000000E-1	2,665184384E-1	7,370170022E-1
3,100000000E-1	2,741041857E-1	7,347065477E-1
3,200000000E-1	2,804181017E-1	7,331940466E-1
3,300000000E-1	2,867446570E-1	7,315389818E-1
3,400000000E-1	2,948258442E-1	7,293431474E-1
3,500000000E-1	3,012037229E-1	7,281083425E-1
3,600000000E-1	3,106358555E-1	7,273859986E-1
3,700000000E-1	3,188688605E-1	7,224461955E-1
3,800000000E-1	3,250436143E-1	7,207995945E-1
3,900000000E-1	3,357465209E-1	7,191529935E-1
4,000000000E-1	3,410979742E-1	7,170947422E-1
4,100000000E-1	3,509775803E-1	7,150364910E-1
4,200000000E-1	3,579756347E-1	7,125665894E-1
4,300000000E-1	3,674435905E-1	7,109199884E-1
4,400000000E-1	3,764998961E-1	7,092733874E-1
4,500000000E-1	3,843212509E-1	7,063918356E-1
4,600000000E-1	3,935432603E-1	7,038725022E-1
4,700000000E-1	4,029224187E-1	7,012725663E-1
4,800000000E-1	4,124686817E-1	6,985973500E-1
4,900000000E-1	4,221698318E-1	6,959847305E-1
5,000000000E-1	4,321332075E-1	6,933578207E-1
5,100000000E-1	4,418465915E-1	6,907337936E-1
5,200000000E-1	4,521739042E-1	6,880923196E-1
5,300000000E-1	4,624426579E-1	6,854612716E-1
5,400000000E-1	4,727458871E-1	6,827821412E-1
5,500000000E-1	4,833259208E-1	6,800954814E-1
5,600000000E-1	4,940487424E-1	6,775203487E-1
5,700000000E-1	5,053464255E-1	6,751064163E-1
5,800000000E-1	5,160493321E-1	6,697549630E-1
5,900000000E-1	5,275755392E-1	6,681083620E-1
6,000000000E-1	5,411599976E-1	6,648151600E-1
6,100000000E-1	5,514512540E-1	6,627569087E-1
6,200000000E-1	5,630288113E-1	6,596537162E-1
6,300000000E-1	5,754186993E-1	6,565102895E-1
6,400000000E-1	5,869920996E-1	6,535837811E-1
6,500000000E-1	5,990444082E-1	6,507892039E-1
6,600000000E-1	6,117263627E-1	6,471542273E-1
6,700000000E-1	6,238658332E-1	6,442821151E-1
6,800000000E-1	6,374175696E-1	6,406546167E-1
6,900000000E-1	6,495513181E-1	6,376888216E-1
7,000000000E-1	6,634078603E-1	6,341133196E-1
7,100000000E-1	6,758604814E-1	6,312291006E-1
7,200000000E-1	6,897928047E-1	6,274791838E-1
7,300000000E-1	7,054084489E-1	6,220035336E-1
7,400000000E-1	7,177579565E-1	6,187103316E-1
7,500000000E-1	7,325773657E-1	6,166520803E-1
7,600000000E-1	7,461618240E-1	6,125355778E-1
7,700000000E-1	7,604627478E-1	6,086513087E-1
7,800000000E-1	7,749510656E-1	6,048529035E-1
7,900000000E-1	7,895146809E-1	6,009945113E-1
8,000000000E-1	8,042047889E-1	5,972587088E-1
8,100000000E-1	8,190971464E-1	5,930586824E-1
8,200000000E-1	8,340426406E-1	5,895304941E-1
8,300000000E-1	8,492594322E-1	5,852350877E-1
8,400000000E-1	8,645131269E-1	5,812609559E-1
8,500000000E-1	8,796223132E-1	5,773044817E-1
8,600000000E-1	8,950344369E-1	5,733662427E-1
8,700000000E-1	9,095869748E-1	5,664307493E-1
8,800000000E-1	9,256413347E-1	5,643724980E-1
8,900000000E-1	9,421073449E-1	5,594326950E-1
9,000000000E-1	9,573384043E-1	5,557278427E-1
9,100000000E-1	9,731664305E-1	5,516157410E-1
9,200000000E-1	9,904684006E-1	5,469177344E-1
9,300000000E-1	1,006530748E0	5,425437502E-1
9,400000000E-1	1,023939169E0	5,376344125E-1
9,500000000E-1	1,040005281E0	5,334807598E-1
9,600000000E-1	1,057731931E0	5,285257373E-1
9,700000000E-1	1,074408126E0	5,240662795E-1
9,800000000E-1	1,095241239E0	5,182676696E-1
9,900000000E-1	1,111295599E0	5,145628173E-1
