mass_A
t	x	y
0,000000000E0	3,122293343E-1	5,904773976E-1
1,000000000E-2	3,123497056E-1	5,904424839E-1
2,000000000E-2	3,126659176E-1	5,904298306E-1
3,000000000E-2	3,132047768E-1	5,903909177E-1
4,000000000E-2	3,137962690E-1	5,903424013E-1
5,000000000E-2	3,143567008E-1	5,903096873E-1
6,000000000E-2	3,149308858E-1	5,902189656E-1
7,000000000E-2	3,157373249E-1	5,901438999E-1
8,000000000E-2	3,166134654E-1	5,899454315E-1
9,000000000E-2	3,179102040E-1	5,898774924E-1
1,000000000E-1	3,190102105E-1	5,897602345E-1
1,100000000E-1	3,203865955E-1	5,895786819E-1
1,200000000E-1	3,216018780E-1	5,890976659E-1
1,300000000E-1	3,231052281E-1	5,887958265E-1
1,400000000E-1	3,247637382E-1	5,883780392E-1
1,500000000E-1	3,265887555E-1	5,879777745E-1
1,600000000E-1	3,281646181E-1	5,875839470E-1
1,700000000E-1	3,303058601E-1	5,874025113E-1
1,800000000E-1	3,323522806E-1	5,871191931E-1
1,900000000E-1	3,347425270E-1	5,865650451E-1
2,000000000E-1	3,369589296E-1	5,860210084E-1
2,100000000E-1	3,395838909E-1	5,858344745E-1
2,200000000E-1	3,416971065E-1	5,856191825E-1
2,300000000E-1	3,444310140E-1	5,851485692E-1
2,400000000E-1	3,473398610E-1	5,847047775E-1
2,500000000E-1	3,499797287E-1	5,843690736E-1
2,600000000E-1	3,524370702E-1	5,841342385E-1
2,700000000E-1	3,553475156E-1	5,834920198E-1
2,800000000E-1	3,583152320E-1	5,828601326E-1
2,900000000E-1	3,613195236E-1	5,826319432E-1
3,000000000E-1	3,644373693E-1	5,818608098E-1
3,100000000E-1	3,674858205E-1	5,812897954E-1
3,200000000E-1	3,706340715E-1	5,810098896E-1
3,300000000E-1	3,739076048E-1	5,801802148E-1
3,400000000E-1	3,770637240E-1	5,796918871E-1
3,500000000E-1	3,805933146E-1	5,792813452E-1
3,600000000E-1	3,843800234E-1	5,784207015E-1
3,700000000E-1	3,879177525E-1	5,781319227E-1
3,800000000E-1	3,918099398E-1	5,775296103E-1
3,900000000E-1	3,953762289E-1	5,768307044E-1
4,000000000E-1	3,995480794E-1	5,765023441E-1
4,100000000E-1	4,034214562E-1	5,757019302E-1
4,200000000E-1	4,073511171E-1	5,750936982E-1
4,300000000E-1	4,111387910E-1	5,745476296E-1
4,400000000E-1	4,152937759E-1	5,737512939E-1
4,500000000E-1	4,195652454E-1	5,731948643E-1
4,600000000E-1	4,240621568E-1	5,722523112E-1
4,700000000E-1	4,286639600E-1	5,718256707E-1
4,800000000E-1	4,333774953E-1	5,708055228E-1
4,900000000E-1	4,379879003E-1	5,703237583E-1
5,000000000E-1	4,426626538E-1	5,692141060E-1
5,100000000E-1	4,473411855E-1	5,687417499E-1
5,200000000E-1	4,521001629E-1	5,676844082E-1
5,300000000E-1	4,567943041E-1	5,671828058E-1
5,400000000E-1	4,616143087E-1	5,661973615E-1
5,500000000E-1	4,664642565E-1	5,656556355E-1
5,600000000E-1	4,717241197E-1	5,645083746E-1
5,700000000E-1	4,767178111E-1	5,636147018E-1
5,800000000E-1	4,817203799E-1	5,628890366E-1
5,900000000E-1	4,870223327E-1	5,626102088E-1
6,000000000E-1	4,919503546E-1	5,622627315E-1
