mass_A
t	x	y
0,0000000	0,1459659	0,7465084
0,0100000	0,1461473	0,7462899
0,0200000	0,1472953	0,7442644
0,0300000	0,1477311	0,7423196
0,0400000	0,1480088	0,7391330
0,0500000	0,1490399	0,7350880
0,0600000	0,1512441	0,7304491
0,0700000	0,1537003	0,7254107
0,0800000	0,1563021	0,7196862
0,0900000	0,1591542	0,7134463
0,1000000	0,1622779	0,7069030
0,1100000	0,1654285	0,6995191
0,1200000	0,1690014	0,6917101
0,1300000	0,1725668	0,6832918
0,1400000	0,1765718	0,6741381
0,1500000	0,1804433	0,6642819
0,1600000	0,1849603	0,6540679
0,1700000	0,1899841	0,6433948
0,1800000	0,1943617	0,6313860
0,1900000	0,1996919	0,6192750
0,2000000	0,2051514	0,6069810
0,2100000	0,2112668	0,5935104
0,2200000	0,2171856	0,5799018
0,2300000	0,2239870	0,5655024
0,2400000	0,2309863	0,5510033
0,2500000	0,2386098	0,5355891
0,2600000	0,2468757	0,5197781
0,2700000	0,2555893	0,5037992
0,2800000	0,2649834	0,4876970
0,2900000	0,2754437	0,4708340
0,3000000	0,2868854	0,4543060
0,3100000	0,2993036	0,4379011
0,3200000	0,3124952	0,4215457
0,3300000	0,3265423	0,4055857
0,3400000	0,3416581	0,3889777
0,3500000	0,3586341	0,3734669
0,3600000	0,3763602	0,3587894
0,3700000	0,3952936	0,3452577
0,3800000	0,4152780	0,3321399
0,3900000	0,4360642	0,3200183
0,4000000	0,4574665	0,3083301
0,4100000	0,4796443	0,2976468
0,4200000	0,5026914	0,2893383
0,4300000	0,5247734	0,2777457
0,4400000	0,5488198	0,2683790
0,4500000	0,5729154	0,2598471
0,4600000	0,5973319	0,2514262
0,4700000	0,6215711	0,2443015
0,4800000	0,6468533	0,2371727
0,4900000	0,6723534	0,2308485
0,5000000	0,6986706	0,2256728
0,5100000	0,7243923	0,2202544
0,5200000	0,7499545	0,2163261
0,5300000	0,7764088	0,2127214
0,5400000	0,8027050	0,2100538
0,5500000	0,8290799	0,2074318
0,5600000	0,8562161	0,2052927
0,5700000	0,8836166	0,2055703
0,5800000	0,9095078	0,2030303
0,5900000	0,9361208	0,2027760
0,6000000	0,9628503	0,2026663
0,6100000	0,9892434	0,2033401
0,6200000	1,0156076	0,2047922
0,6300000	1,0414486	0,2062729
0,6400000	1,0684013	0,2102806
0,6500000	1,0936318	0,2128356
0,6600000	1,1184376	0,2174078
0,6700000	1,1433604	0,2228189
0,6800000	1,1676983	0,2292644
0,6900000	1,1909681	0,2371155
0,7000000	1,2138682	0,2458133
0,7100000	1,2354886	0,2572018
0,7200000	1,2564627	0,2684887
0,7300000	1,2761550	0,2809727
0,7400000	1,2945683	0,2949027
0,7500000	1,3118778	0,3092989
0,7600000	1,3284597	0,3233395
0,7700000	1,3444200	0,3371823
0,7800000	1,3604693	0,3508193
0,7900000	1,3759810	0,3656183
0,8000000	1,3912847	0,3791484
0,8100000	1,4061796	0,3921287
0,8200000	1,4194087	0,4073999
